k,coordinates,cluster_id,mse,center,radius
1,"[1.8, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.625215689422981
1,"[3.49, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.6992872827417327
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[1.3, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.875305086673785
1,"[3.78, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.865475013057612
1,"[1.2, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.9169961570498226
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[1.7, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0780937022586083
1,"[2.5, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.737671317068885
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.1, 11.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.839868123688658
1,"[2.5, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.3229921018719546
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[1.3, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.2628168604380192
1,"[1.63, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1022066954419774
1,"[1.42, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1964030697718377
1,"[2.62, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.8178220187663602
1,"[2.1, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5801546036902632
1,"[2.18, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.593713134225304
1,"[2.5, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.3229921018719546
1,"[1.96, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5826890263578922
1,"[1.9, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5939609080246256
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.8, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.9538572628588075
1,"[2.18, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.593713134225304
1,"[1.25, 11.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.5130027588646797
1,"[2.17, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5914438228230602
1,"[1.6, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.7783289555048372
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.45, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8212939139649449
1,"[2.8, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4004118420058327
1,"[2.06, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.577426535066317
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.8, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.625215689422981
1,"[1.54, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1387950595749956
1,"[3.0, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.470984988858371
1,"[1.9, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5939609080246256
1,"[4.42, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.2934897028845467
1,"[2.8, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4004118420058327
1,"[1.2, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.9169961570498226
1,"[2.05, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5771758078805921
1,"[1.13, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.3694470014108624
1,"[2.18, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.593713134225304
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[1.6, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1137284807747752
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[1.42, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8312408499314101
1,"[2.36, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6596257342471149
1,"[1.9, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5939609080246256
1,"[1.6, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1137284807747752
1,"[2.7, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.3706712360175652
1,"[2.18, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.593713134225304
1,"[3.78, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.865475013057612
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.4, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.305297682165732
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.29, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6287127149251052
1,"[2.8, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4004118420058327
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.4, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6799000441721997
1,"[2.33, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.645629645147131
1,"[2.5, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.737671317068885
1,"[2.1, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5801546036902632
1,"[2.9, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.4339005553232074
